Date,AV,C,TV
2015-11-17,12030.069940567017,3799.665517807004,15829.73545837402
2015-11-18,8656.32004737854,7335.475370407101,15991.79541778564
2015-11-19,6827.160026550293,9187.425354003903,16014.585380554196
2015-11-20,8479.58981704712,7557.855388641354,16037.445205688473
2015-11-23,7966.929908752441,8058.045387268063,16024.975296020504
2015-11-24,11535.258968353271,4509.7965469360315,16045.055515289303
2015-11-25,12718.632507324219,3309.6466140747034,16028.279121398922
2015-11-27,12778.09998703003,3119.559566497799,15897.659553527828
2015-11-30,12429.950010299683,3511.809520721432,15941.759531021115
2015-12-01,6072.600019454956,10044.779731750485,16117.37975120544
2015-12-02,11596.079795837402,4451.929843902584,16048.009639739987
2015-12-03,14109.15984916687,1844.3798599243128,15953.539709091183
2015-12-04,4730.600059509277,11427.779943466181,16158.380002975458
2015-12-07,11421.990188598633,4689.779821395869,16111.770009994501
2015-12-08,14025.249778747559,1901.9098701476996,15927.159648895258
2015-12-09,12415.39966583252,3540.3098812103217,15955.709547042841
2015-12-10,14333.54995918274,1627.1598796844428,15960.709838867182
2015-12-11,15138.140071868896,536.3298797607367,15674.469951629633
2015-12-14,15660.85005378723,93.93988227843693,15754.789936065667
2015-12-15,12468.260166168213,3380.359750747676,15848.61991691589
2015-12-16,4847.080024719238,11182.44971656799,16029.529741287228
2015-12-17,10081.719814300537,5884.359838485714,15966.079652786251
2015-12-18,11026.540203094482,4815.189805984493,15841.730009078976
2015-12-21,13912.11011505127,1958.2597961425745,15870.369911193844
2015-12-22,5422.220043182373,10608.209644317623,16030.429687499996
2015-12-23,7608.310001373291,8482.99960517883,16091.30960655212
2015-12-24,7062.110010147095,9017.259624481198,16079.369634628292
2015-12-28,7963.839931488037,8082.049619674679,16045.889551162716
2015-12-29,8186.939756393433,7898.019620895382,16084.959377288815
2015-12-30,12760.399997711182,3241.7296276092493,16002.129625320431
2015-12-31,14630.819915771484,1324.6096477508509,15955.429563522335
2016-01-04,15253.970003128054,378.4896507263147,15632.459653854368
2016-01-05,15479.399883270264,156.12965393066042,15635.529537200924
2016-01-06,15221.820259094238,93.7896518707239,15315.609910964962
2016-01-07,14901.999906539917,51.489652633663354,14953.48955917358
2016-01-08,14769.610349655148,33.05965232848757,14802.670001983635
2016-01-11,14722.200262069702,33.05965232848757,14755.25991439819
